,Title,Worldwide,Domestic,Foreign,Year
9868,Dead Snow,"$1,984,662","$46,742","$1,937,920",2009
9869,The Limits of Control,"$1,981,134","$426,688","$1,554,446",2009
9870,New York,"$1,935,820","$997,437","$938,383",2009
9871,It Might Get Loud,"$1,896,244","$1,610,163","$286,081",2009
9872,Kaminey,"$1,868,980","$1,291,827","$577,153",2009
9873,The Secret of Kells,"$1,803,412","$676,775","$1,126,637",2009
9874,Storm 2009 Re-release,"$1,661,518","$16,013","$1,645,505",2009
9875,The Maid,"$1,647,555","$576,608","$1,070,947",2009
9876,The Girl on the Train 2009 Re-release,"$1,636,579","$208,023","$1,428,556",2009
9877,The Messenger,"$1,595,417","$1,109,660","$485,757",2009
9878,The Milk of Sorrow,"$1,553,977","$10,462","$1,543,515",2009
9879,John Rabe,"$1,484,665","$67,519","$1,417,146",2009
9880,X Games 3D: The Movie,"$1,472,747","$1,391,434","$81,313",2009
9881,Kurbaan,"$1,461,611","$754,268","$707,343",2009
9882,I Hope They Serve Beer in Hell,"$1,429,299","$1,429,299",-,2009
9883,The Secrets of Jonathan Sperry,"$1,355,079","$1,355,079",-,2009
9884,Paper Heart,"$1,296,971","$1,274,062","$22,909",2009
9885,Lebanon,"$1,220,376","$368,088","$852,288",2009
9886,Army of Crime,"$1,199,877","$37,031","$1,162,846",2009
9887,The Cove,"$1,187,434","$857,005","$330,429",2009
9888,Videocracy,"$1,179,676","$23,720","$1,155,956",2009
9889,Tulpan,"$1,166,344","$158,741","$1,007,603",2009
9890,The Wizard of Oz 2009 NCM Fathom Event,"$1,158,710","$1,140,000","$18,710",2009
9891,Sugar,"$1,144,438","$1,082,124","$62,314",2009
9892,"Yoo-Hoo, Mrs. Goldberg","$1,134,623","$1,134,623",-,2009
9893,Cold Souls,"$1,131,536","$905,209","$226,327",2009
9894,Dil Bole Hadippa!,"$1,128,211","$644,046","$484,165",2009
9895,La Danse: The Paris Opera Ballet,"$1,124,838","$567,493","$557,345",2009
9896,The Stoning of Soraya M.,"$1,120,476","$637,421","$483,055",2009
9897,The Salvation Poem,"$1,097,750","$914,818","$182,932",2009
9898,The Girlfriend Experience,"$1,060,941","$695,840","$365,101",2009
9899,The Time That Remains,"$1,037,505","$32,869","$1,004,636",2009
9900,35 Shots of Rum,"$971,841","$177,511","$794,330",2009
9901,Tyson,"$964,920","$887,918","$77,002",2009
9902,Fanboys,"$961,203","$688,529","$272,674",2009
9903,More Than a Game,"$960,387","$950,675","$9,712",2009
9904,The Nightmare Before Christmas 2009 3D Release,"$957,826","$406,085","$551,741",2009
9905,Anvil: The Story of Anvil,"$951,380","$667,911","$283,469",2009
9906,Goodbye Solo,"$942,209","$870,781","$71,428",2009
9907,Hideaway,"$920,225","$34,525","$885,700",2009
9908,Jerichow,"$905,600","$60,379","$845,221",2009
9909,The Great Buck Howard,"$900,689","$750,587","$150,102",2009
9910,No One Knows About Persian Cats,"$879,937","$81,768","$798,169",2009
9911,Plastic Planet,"$846,200","$3,164","$843,036",2009
9912,My Year Without Sex,"$805,283","$3,119","$802,164",2009
9913,The Wonder of It All,"$781,016","$781,016",-,2009
9914,Little Ashes,"$767,567","$481,586","$285,981",2009
9915,The Cross,"$741,557","$741,557",-,2009
9916,Motherhood,"$726,354","$93,388","$632,966",2009
9917,Play the Game,"$659,483","$659,483",-,2009
9918,The Oscar Nominated Short Films 2009: Live Action,"$644,635","$644,635",-,2009
9919,London Dreams,"$618,067","$300,293","$317,774",2009
9920,Disgrace 2009 Re-release,"$596,554","$69,705","$526,849",2009
9921,American Violet,"$554,434","$554,434",-,2009
9922,From Mexico with Love,"$549,495","$548,787",$708,2009
9923,Lymelife,"$540,403","$421,307","$119,096",2009
9924,The Polar Express 2009 IMAX Release,"$514,354","$514,354",-,2009
9925,A Town Called Panic,"$505,699","$165,509","$340,190",2009
9926,Humpday,"$473,980","$407,377","$66,603",2009
9927,Life Partner,"$457,340","$110,240","$347,100",2009
9928,The Little Traitor,"$454,481","$402,088","$52,393",2009
9929,Main Aurr Mrs Khanna,"$431,630","$197,183","$234,447",2009
9930,"A Woman, a Gun and a Noodle Shop","$428,249","$190,946","$237,303",2009
9931,Luck,"$426,221","$149,333","$276,888",2009
9932,Dogtooth,"$412,728","$110,248","$302,480",2009
9933,Wanted,"$404,099","$349,637","$54,462",2009
9934,24 City,"$402,917","$30,800","$372,117",2009
9935,Transylmania,"$397,641","$397,641",-,2009
9936,The Marc Pease Experience,"$390,584","$4,033","$386,551",2009
9937,Shortkut - The Con Is On,"$389,832","$100,304","$289,528",2009
9938,Adoration,"$384,659","$294,244","$90,415",2009
9939,The Informers,"$382,174","$300,000","$82,174",2009
9940,Unmistaken Child,"$369,742","$306,140","$63,602",2009
9941,Five Minutes of Heaven,"$364,355","$15,676","$348,679",2009
9942,Serious Moonlight,"$348,327","$25,339","$322,988",2009
9943,The Merry Gentleman,"$347,977","$347,977",-,2009
9944,Tera Mera Ki Rishta,"$345,063","$271,942","$73,121",2009
9945,What's Your Raashee?,"$314,881","$257,868","$57,013",2009
9946,Shrink,"$303,431","$189,621","$113,810",2009
9947,Black Dynamite,"$296,557","$242,578","$53,979",2009
9948,Outrage,"$287,198","$287,198",-,2009
9949,Valhalla Rising,"$282,737","$30,638","$252,099",2009
9950,That Evening Sun,"$281,350","$281,350",-,2009
9951,Eyes Wide Open,"$276,576","$26,258","$250,318",2009
9952,Around a Small Mountain,"$270,930","$33,216","$237,714",2009
9953,Call of the Wild,"$270,210","$28,682","$241,528",2009
9954,Little Girl,"$264,498","$1,350","$263,148",2009
9955,Soul Power,"$254,582","$207,121","$47,461",2009
9956,Larger Than Life in 3D,"$246,042","$246,042",-,2009
9957,Do Knot Disturb,"$243,176","$213,525","$29,651",2009
9958,The Yes Men Fix the World,"$241,868","$194,533","$47,335",2009
9959,Big Fan,"$234,540","$234,540",-,2009
9960,(Untitled),"$230,600","$230,600",-,2009
9961,Paa,"$230,422","$199,228","$31,194",2009
9962,World's Greatest Dad,"$221,805","$221,805",-,2009
9963,Rocket Singh: Salesman of the Year,"$197,650",-,"$197,650",2009
9964,Máncora,"$196,069","$29,697","$166,372",2009
9965,Herb & Dorothy,"$194,721","$194,721",-,2009
9966,Crude,"$185,881","$170,295","$15,586",2009
9967,Youssou Ndour: I Bring What I Love,"$183,503","$172,225","$11,278",2009
9968,Passport to Love,"$173,828","$173,828",-,2009
9969,Gigantic,"$165,888","$102,704","$63,184",2009
9970,"Police, Adjective","$162,974","$53,206","$109,768",2009
9971,Teza,"$158,999","$30,070","$128,929",2009
9972,Altiplano,"$157,796","$2,961","$154,835",2009
9973,The Horse Boy,"$156,612","$156,612",-,2009
9974,Brothers at War,"$153,148","$153,148",-,2009
9975,All the Best: Fun Begins,"$150,902","$120,713","$30,189",2009
9976,Daytime Drinking,"$145,587","$4,970","$140,617",2009
9977,Not Forgotten,"$142,055","$53,744","$88,311",2009
9978,Until the Light Takes Us,"$130,441","$130,441",-,2009
9979,Burma VJ: Reporting from a Closed Country,"$127,063","$51,672","$75,391",2009
9980,Treeless Mountain,"$124,023","$60,336","$63,687",2009
9981,"War Eagle, Arkansas","$123,670","$123,670",-,2009
9982,Street Dreams,"$122,575","$122,575",-,2009
9983,Examined Life,"$120,712","$120,712",-,2009
9984,Gentlemen Broncos,"$118,492","$113,682","$4,810",2009
9985,No Impact Man: The Documentary,"$116,349","$100,028","$16,321",2009
9986,Afghan Star,"$112,909","$102,115","$10,794",2009
9987,Monster Beach Party,"$112,791","$112,791",-,2009
9988,Killing Kasztner,"$112,313","$112,313",-,2009
9989,Medicine for Melancholy,"$111,551","$111,551",-,2009
9990,The Way We Get By,"$106,542","$106,542",-,2009
9991,The Skeptic,"$106,128","$6,671","$99,457",2009
9992,Alien Trespass,"$104,526","$104,526",-,2009
9993,Rolling,"$103,318","$103,318",-,2009
9994,Cracks,"$101,860","$29,683","$72,177",2009
9995,The House of the Devil,"$101,215","$101,215",-,2009
9996,Under Our Skin,"$98,548","$98,548",-,2009
9997,Made in U.S.A,"$95,209","$95,209",-,2009
9998,My Führer 2009 Re-release,"$91,995","$2,465","$89,530",2009
9999,Throw Down Your Heart,"$89,521","$89,521",-,2009
10000,Mystery Team,"$89,442","$89,442",-,2009
10001,Z,"$83,305","$83,305",-,2009
10002,The Mysteries of Pittsburgh,"$80,283","$80,283",-,2009
10003,The Sun 2009 Re-release,"$77,303","$77,303",-,2009
10004,Love N' Dancing,"$73,848","$47,812","$26,036",2009
10005,Crips and Bloods: Made in America,"$70,219","$70,219",-,2009
10006,White on Rice,"$69,171","$69,171",-,2009
10007,Skills Like This,"$63,163","$63,163",-,2009
10008,The Providence Effect,"$62,500","$62,500",-,2009
10009,Brighton Rock,"$60,950","$49,466","$11,484",2009
10010,The Slammin' Salmon,"$60,421","$41,587","$18,834",2009
10011,Four Seasons Lodge,"$58,334","$58,334",-,2009
10012,The End of Poverty?,"$57,805","$57,805",-,2009
10013,The Boys: The Sherman Brothers' Story,"$55,513","$55,513",-,2009
10014,In a Dream,"$54,640","$54,640",-,2009
10015,Give Me Your Hand,"$54,147","$3,601","$50,546",2009
10016,Broken Hill,"$54,058","$54,058",-,2009
10017,Kal Kissne Dekha,"$54,048","$24,625","$29,423",2009
10018,Bart Got a Room,"$53,760","$53,760",-,2009
10019,Visual Acoustics,"$52,467","$52,467",-,2009
10020,Lost in Love,"$52,453","$52,453",-,2009
10021,Trucker,"$52,429","$52,429",-,2009
10022,American Casino,"$50,437","$50,437",-,2009
10023,Royal Kill,"$50,090","$50,090",-,2009
10024,Le combat dans l'île,"$50,039","$50,039",-,2009
10025,Laila's Birthday,"$47,622","$13,689","$33,933",2009
10026,Collapse,"$46,964","$46,964",-,2009
10027,Casi divas 2009 Re-release,"$46,612","$46,612",-,2009
10028,Beeswax,"$46,590","$46,590",-,2009
10029,William Kunstler: Disturbing the Universe,"$46,078","$46,078",-,2009
10030,Pressure Cooker,"$44,803","$44,803",-,2009
10031,The Golden Boys,"$43,600","$43,600",-,2009
10032,We Live in Public,"$41,711","$41,711",-,2009
10033,Bliss 2009 Re-release,"$40,349","$40,349",-,2009
10034,Small Change,"$38,296","$38,296",-,2009
10035,Uncertainty,"$36,689","$36,689",-,2009
10036,Our City Dreams,"$34,972","$34,972",-,2009
10037,Brief Interviews with Hideous Men,"$33,745","$33,745",-,2009
10038,Mississippi Mermaid,"$33,216","$33,216",-,2009
10039,Fuel,"$32,465","$32,465",-,2009
10040,Pontypool,"$32,118","$3,865","$28,253",2009
10041,I'm Glad My Mother Is Alive,"$31,140","$8,705","$22,435",2009
10042,Super Capers: The Origins of Ed and the Missing Bullion,"$30,955","$30,955",-,2009
10043,American Swing,"$30,156","$30,156",-,2009
10044,The Windmill Movie,"$30,050","$30,050",-,2009
10045,Streetballers,"$28,642","$28,642",-,2009
10046,Explicit Ills,"$28,564","$28,564",-,2009
10047,An American Affair,"$28,044","$28,044",-,2009
10048,"Léon Morin, Priest","$27,567","$27,567",-,2009
10049,Guest of Cindy Sherman,"$27,052","$27,052",-,2009
10050,The Garden,"$26,931","$26,931",-,2009
10051,Earth Days,"$26,748","$26,748",-,2009
10052,The Answer Man,"$26,676","$26,676",-,2009
10053,Endgame,"$26,260","$9,645","$16,615",2009
10054,Perestroika,"$26,064","$26,064",-,2009
10055,Nursery University,"$26,042","$26,042",-,2009
10056,Gotta Dance,"$25,108","$25,108",-,2009
10057,Coyote County Loser,"$24,375","$24,375",-,2009
10058,The Big Gay Musical,"$24,140","$24,140",-,2009
10059,Frequently Asked Questions About Time Travel,"$23,820",-,"$23,820",2009
10060,Death in Love,"$23,412","$23,412",-,2009
10061,Weather Girl,"$22,779","$22,779",-,2009
10062,Downloading Nancy,"$22,282","$22,282",-,2009
10063,Walt & El Grupo,"$20,521","$20,521",-,2009
10064,If I Die Tonight,"$20,214","$20,214",-,2009
10065,A Wink and a Smile,"$20,169","$20,169",-,2009
10066,Harmony and Me,"$20,099","$20,099",-,2009
10067,The Open Road,"$19,716","$19,716",-,2009
10068,Daddy Cool: Join the Fun,"$19,069","$14,319","$4,750",2009
10069,Severed Ways: The Norse Discovery of America,"$18,728","$18,728",-,2009
10070,Blessed Is the Match: The Life and Death of Hannah Senesh,"$18,654","$18,654",-,2009
10071,Between Love & Goodbye,"$18,480","$18,480",-,2009
10072,Dare,"$18,000","$18,000",-,2009
10073,Women in Trouble,"$18,000","$18,000",-,2009
10074,The Missing Person,"$17,896","$17,896",-,2009
10075,The New Twenty,"$17,625","$17,625",-,2009
10076,Adventures of Power,"$17,419","$17,419",-,2009
10077,Defamation,"$17,309","$12,038","$5,271",2009
10078,Home,"$17,182","$9,478","$7,704",2009
10079,April Showers,"$16,880","$16,880",-,2009
10080,Splinterheads,"$16,392","$16,392",-,2009
10081,Tennessee,"$16,100","$16,100",-,2009
10082,Who's That Knocking at My Door,"$16,085",-,"$16,085",2009
10083,Chelsea on the Rocks,"$15,148","$11,799","$3,349",2009
10084,The Education of Charlie Banks,"$15,078","$15,078",-,2009
10085,Yuri Gagarin Conspiracy: Fallen Idol,"$14,471","$14,471",-,2009
10086,Nobody,"$14,271","$14,271",-,2009
10087,Carmen and Geoffrey,"$14,130","$14,130",-,2009
10088,Sherman's Way,"$13,282","$13,282",-,2009
10089,Betty Blue 2009 Director's Cut,"$13,029","$13,029",-,2009
10090,The Art of Being Straight,"$12,831","$12,831",-,2009
10091,Sex Positive,"$12,069","$12,069",-,2009
10092,One Peace at a Time,"$11,698","$11,698",-,2009
10093,Peter and Vandy,"$11,495","$11,495",-,2009
10094,Taxidermia 2009 Re-release,"$11,408","$11,408",-,2009
10095,Looking for Palladin,"$11,268","$11,268",-,2009
10096,Vanished Empire 2009 Re-release,"$10,289","$10,289",-,2009
10097,Act of God,"$9,955","$9,955",-,2009
10098,Fix,"$9,890","$9,890",-,2009
10099,The River Within,"$9,811","$9,811",-,2009
10100,Robert Blecker Wants Me Dead,"$9,166","$9,166",-,2009
10101,The Janky Promoters,"$9,069","$9,069",-,2009
10102,Blind Date,"$8,449","$8,449",-,2009
10103,Winter of Frozen Dreams,"$8,321","$8,321",-,2009
10104,Grace,"$8,297","$8,297",-,2009
10105,Yonkers Joe,"$8,286","$8,286",-,2009
10106,Loren Cass,"$8,125","$8,125",-,2009
10107,Spinning Into Butter,"$8,064","$8,064",-,2009
10108,I Sell the Dead,"$8,050","$8,050",-,2009
10109,Reunion,"$8,030","$8,030",-,2009
10110,Eleven Minutes,"$7,986","$7,986",-,2009
10111,Jazz in the Diamond District,"$7,634","$7,634",-,2009
10112,Pretty Ugly People,"$6,537","$6,537",-,2009
10113,The Bride & The Grooms,"$5,995","$5,995",-,2009
10114,Waiting for Dublin,"$5,925","$5,925",-,2009
10115,Gogol Bordello Non-Stop,"$5,532","$5,532",-,2009
10116,The Strip,"$5,107","$5,107",-,2009
10117,The Death Factory Bloodletting,"$4,638","$4,638",-,2009
10118,The Ministers,"$4,447","$4,447",-,2009
10119,Corked,"$4,254","$4,254",-,2009
10120,Death of a Ghost Hunter,"$3,490","$3,490",-,2009
10121,American Fork,"$3,359","$3,359",-,2009
10122,Devil Girl,"$3,244","$3,244",-,2009
10123,Gooby,"$3,234","$3,234",-,2009
10124,The Blue Tooth Virgin,"$2,762","$2,762",-,2009
10125,The Village Barbershop,"$2,359","$2,359",-,2009
10126,The Bad and the Beautiful,"$2,025",-,"$2,025",2009
10127,Sikandar,"$1,954","$1,954",-,2009
10128,Shuttle,"$1,925","$1,925",-,2009
10129,The Canyon,"$1,785","$1,785",-,2009
10130,Ghosted,"$1,780","$1,780",-,2009
10131,America Betrayed,"$1,311","$1,311",-,2009
10132,Confessionsofa Ex-Doofus-ItchyFooted Mutha,"$1,013","$1,013",-,2009
10133,How to Be a Serial Killer,$899,$899,-,2009
10134,All That Heaven Allows,$170,-,$170,2009
10135,The Objective,$95,$95,-,2009
10136,Dog Eat Dog,$80,$80,-,2009
10137,Toy Story 3,"$1,066,969,703","$415,004,880","$651,964,823",2010
10138,Alice in Wonderland,"$1,025,467,110","$334,191,110","$691,276,000",2010
10139,Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305","$680,553,613",2010
10140,Inception,"$828,322,032","$292,576,195","$535,745,837",2010
10141,Shrek Forever After,"$752,600,867","$238,736,787","$513,864,080",2010
10142,The Twilight Saga: Eclipse,"$698,491,347","$300,531,751","$397,959,596",2010
10143,Iron Man 2,"$623,933,331","$312,433,331","$311,500,000",2010
10144,Tangled,"$592,304,396","$200,821,936","$391,482,460",2010
10145,Despicable Me,"$543,113,985","$251,513,985","$291,600,000",2010
10146,How to Train Your Dragon,"$494,878,759","$217,581,231","$277,297,528",2010
10147,Clash of the Titans,"$493,214,993","$163,214,888","$330,000,105",2010
10148,The King's Speech,"$423,999,102","$135,453,143","$288,545,959",2010
10149,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950","$311,299,267",2010
10150,TRON: Legacy,"$400,062,763","$172,062,763","$228,000,000",2010
10151,The Karate Kid,"$359,126,022","$176,591,618","$182,534,404",2010
10152,Black Swan,"$329,398,046","$106,954,678","$222,443,368",2010
10153,Megamind,"$321,885,765","$148,415,853","$173,469,912",2010
10154,Robin Hood,"$321,669,741","$105,269,730","$216,400,011",2010
10155,The Last Airbender,"$319,713,881","$131,772,187","$187,941,694",2010
10156,Little Fockers,"$310,650,585","$148,438,600","$162,211,985",2010
10157,Resident Evil: Afterlife,"$300,228,084","$60,128,566","$240,099,518",2010
10158,Shutter Island,"$294,804,195","$128,012,934","$166,791,261",2010
10159,Salt,"$293,503,354","$118,311,368","$175,191,986",2010
10160,Sex and the City 2,"$290,745,055","$95,347,692","$195,397,363",2010
10161,The Tourist,"$278,780,441","$67,631,157","$211,149,284",2010
10162,The Expendables,"$274,470,394","$103,068,524","$171,401,870",2010
10163,Grown Ups,"$271,430,189","$162,001,186","$109,429,003",2010
10164,Knight and Day 2010 Re-release,"$261,930,436","$76,423,035","$185,507,401",2010
10165,True Grit,"$252,276,927","$171,243,005","$81,033,922",2010
10166,Gulliver's Travels,"$237,382,724","$42,779,261","$194,603,463",2010
10167,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303","$137,728,906",2010
10168,The Social Network,"$224,920,315","$96,962,694","$127,957,621",2010
10169,Valentine's Day,"$216,485,654","$110,485,654","$106,000,000",2010
10170,The Sorcerer's Apprentice,"$215,283,742","$63,150,991","$152,132,751",2010
10171,Due Date,"$211,780,824","$100,539,043","$111,241,781",2010
10172,Eat Pray Love,"$204,594,016","$80,574,010","$124,020,006",2010
10173,Yogi Bear,"$203,518,375","$100,246,011","$103,272,364",2010
10174,RED,"$199,006,387","$90,380,162","$108,626,225",2010
10175,Paranormal Activity 2,"$177,512,032","$84,752,907","$92,759,125",2010
10176,The A-Team,"$177,238,796","$77,222,099","$100,016,697",2010
10177,Jackass 3D,"$171,685,792","$117,229,692","$54,456,100",2010
10178,The Other Guys,"$170,458,922","$119,219,978","$51,238,944",2010
10179,Unstoppable,"$167,805,466","$81,562,942","$86,242,524",2010
10180,Step Up 3D,"$159,291,809","$42,400,223","$116,891,586",2010
10181,The Book of Eli,"$157,107,755","$94,835,059","$62,272,696",2010
10182,The Town,"$154,026,136","$92,186,262","$61,839,874",2010
10183,Date Night,"$152,263,880","$98,711,404","$53,552,476",2010
10184,The Secret World of Arrietty,"$148,800,274","$19,202,743","$129,597,531",2010
10185,Legend of the Guardians: The Owls of Ga'Hoole,"$140,073,390","$55,675,313","$84,398,077",2010
10186,The Wolfman,"$139,789,765","$61,979,680","$77,810,085",2010
10187,The Bounty Hunter,"$136,333,522","$67,061,228","$69,272,294",2010
10188,Saw: The Final Chapter,"$136,150,434","$45,710,178","$90,440,256",2010
10189,Wall Street: Money Never Sleeps,"$134,748,021","$52,474,616","$82,273,405",2010
10190,The Adjustment Bureau,"$127,869,379","$62,495,645","$65,373,734",2010
10191,Predators,"$127,233,108","$52,000,688","$75,232,420",2010
10192,A Nightmare on Elm Street,"$115,694,863","$63,075,011","$52,619,852",2010
10193,Dear John,"$114,984,666","$80,014,842","$34,969,824",2010
10194,Cats & Dogs: The Revenge of Kitty Galore,"$112,483,764","$43,585,753","$68,898,011",2010
10195,Tooth Fairy,"$112,462,508","$60,022,256","$52,440,252",2010
10196,Sanctum,"$108,609,310","$23,209,310","$85,400,000",2010
10197,Hereafter,"$106,956,330","$32,746,941","$74,209,389",2010
10198,Life as We Know It,"$105,734,416","$53,374,681","$52,359,735",2010
10199,Let the Bullets Fly,"$104,723,314","$63,012","$104,660,302",2010
10200,Love & Other Drugs,"$102,820,008","$32,367,005","$70,453,003",2010
10201,Aftershock,"$100,293,273","$62,962","$100,230,311",2010
10202,Killers,"$98,159,963","$47,059,963","$51,100,000",2010
10203,Kick-Ass,"$96,188,903","$48,071,303","$48,117,600",2010
10204,Nanny McPhee Returns,"$93,251,121","$29,011,215","$64,239,906",2010
10205,Get Him to the Greek,"$91,720,255","$60,974,475","$30,745,780",2010
10206,Burlesque,"$89,519,773","$39,440,655","$50,079,118",2010
10207,The Last Song,"$89,137,047","$62,950,384","$26,186,663",2010
10208,Dinner for Schmucks,"$86,855,739","$73,026,337","$13,829,402",2010
10209,Marmaduke,"$83,761,844","$33,644,788","$50,117,056",2010
10210,Piranha 3D,"$83,188,165","$25,003,155","$58,185,010",2010
10211,Oceans 2010 Re-release,"$82,651,439","$19,422,319","$63,229,120",2010
10212,Edge of Darkness,"$81,126,522","$43,313,890","$37,812,632",2010
10213,Vampires Suck,"$80,547,866","$36,661,504","$43,886,362",2010
10214,Letters to Juliet,"$79,628,830","$53,032,453","$26,596,377",2010
10215,The Back-up Plan,"$77,477,008","$37,490,007","$39,987,001",2010
10216,Diary of a Wimpy Kid,"$76,196,538","$64,003,625","$12,192,913",2010
10217,If You Are the One 2,"$76,085,443","$426,894","$75,658,549",2010
10218,Easy A,"$75,026,216","$58,401,464","$16,624,752",2010
10219,Hubble 3D,"$74,241,001","$52,520,499","$21,720,502",2010
10220,The Last Exorcism,"$69,432,527","$41,034,350","$28,398,177",2010
10221,Takers,"$69,055,695","$57,744,720","$11,310,975",2010
10222,Legion,"$67,918,658","$40,168,080","$27,750,578",2010
10223,The American,"$67,876,281","$35,606,376","$32,269,905",2010
10224,The Next Three Days,"$67,448,651","$21,148,651","$46,300,000",2010
10225,Skyline,"$66,984,887","$21,393,620","$45,591,267",2010
10226,Hot Tub Time Machine,"$64,735,752","$50,287,556","$14,448,196",2010
10227,Elite Squad: The Enemy Within,"$63,618,850","$100,119","$63,518,731",2010
10228,Devil,"$62,695,489","$33,601,190","$29,094,299",2010
10229,127 Hours,"$60,738,797","$18,335,230","$42,403,567",2010
10230,Why Did I Get Married Too?,"$60,673,972","$60,095,852","$578,120",2010
10231,The Ghost Writer,"$60,331,447","$15,541,549","$44,789,898",2010
10232,Secretariat,"$60,321,861","$59,713,955","$607,906",2010
10233,Morning Glory,"$60,040,976","$31,011,732","$29,029,244",2010
10234,Remember Me,"$56,032,889","$19,068,240","$36,964,649",2010
10235,Cop Out,"$55,611,001","$44,875,481","$10,735,520",2010
10236,The Crazies,"$54,806,823","$39,123,589","$15,683,234",2010
10237,Little White Lies,"$53,319,615","$206,088","$53,113,527",2010
10238,From Paris with Love,"$52,830,951","$24,077,427","$28,753,524",2010
10239,Detective Dee: Mystery of the Phantom Flame,"$51,899,269","$459,836","$51,439,433",2010
10240,Daybreakers,"$51,416,464","$30,101,577","$21,314,887",2010
10241,Alpha and Omega,"$50,507,267","$25,107,267","$25,400,000",2010
10242,The Switch,"$49,830,607","$27,779,426","$22,051,181",2010
10243,She's Out of My League,"$49,779,728","$32,010,860","$17,768,868",2010
10244,Death at a Funeral,"$49,050,886","$42,739,347","$6,311,539",2010
10245,How Do You Know,"$48,668,907","$30,212,620","$18,456,287",2010
10246,Charlie St. Cloud,"$48,190,704","$31,162,545","$17,028,159",2010
10247,Scott Pilgrim vs. the World,"$47,664,559","$31,524,275","$16,140,284",2010
10248,Avatar 2010 Special Edition,"$45,823,494","$10,741,486","$35,082,008",2010
10249,Machete,"$45,491,656","$26,593,646","$18,898,010",2010
10250,The Man from Nowhere,"$44,723,232","$528,175","$44,195,057",2010
10251,Of Gods and Men,"$43,803,417","$3,951,596","$39,851,821",2010
10252,Boy,"$43,551,154","$256,211","$43,294,943",2010
10253,When in Rome,"$43,053,376","$32,680,633","$10,372,743",2010
10254,My Name Is Khan,"$42,345,360","$4,018,771","$38,326,589",2010
10255,Going the Distance,"$42,059,111","$17,804,299","$24,254,812",2010
10256,For Colored Girls,"$37,981,984","$37,729,698","$252,286",2010
10257,Furry Vengeance,"$36,288,132","$17,630,465","$18,657,667",2010
10258,You Will Meet a Tall Dark Stranger,"$35,867,322","$3,248,246","$32,619,076",2010
10259,Faster,"$35,626,958","$23,240,020","$12,386,938",2010
10260,The Kids Are All Right,"$34,705,850","$20,811,365","$13,894,485",2010
10261,Leap Year,"$32,686,500","$25,918,920","$6,767,580",2010
10262,Potiche,"$32,309,881","$1,618,844","$30,691,037",2010
10263,You Again,"$32,054,369","$25,702,053","$6,352,316",2010
10264,The Losers,"$29,397,654","$23,591,432","$5,806,222",2010
10265,Sacrifice,"$29,093,560","$29,792","$29,063,768",2010
10266,Legend of the Fist: The Return of Chen Zhen,"$27,390,678","$50,433","$27,340,245",2010
10267,Ramona and Beezus,"$27,293,743","$26,167,002","$1,126,741",2010
10268,Splice 2010 Re-release,"$27,127,620","$17,010,170","$10,117,450",2010
10269,Let Me In,"$27,093,592","$12,134,935","$14,958,657",2010
10270,Fair Game,"$25,798,915","$9,540,691","$16,258,224",2010
10271,Biutiful,"$25,147,786","$5,101,237","$20,046,549",2010
10272,Sarah's Key,"$24,792,815","$7,693,187","$17,099,628",2010
10273,Lottery Ticket,"$24,719,879","$24,719,879",-,2010
10274,The Way Back,"$24,172,201","$2,701,859","$21,470,342",2010
10275,22 Bullets,"$21,695,883",-,"$21,695,883",2010
10276,Just Wright,"$21,584,424","$21,540,363","$44,061",2010
10277,My Soul to Take,"$21,500,813","$14,744,435","$6,756,378",2010
10278,Our Family Wedding,"$21,409,028","$20,255,281","$1,153,747",2010
10279,71: Into the Fire,"$20,967,660","$176,638","$20,791,022",2010
10280,I Love You Phillip Morris 2010 Re-release,"$20,722,843","$2,037,459","$18,685,384",2010
10281,Country Strong,"$20,529,194","$20,218,921","$310,273",2010
10282,Another Year,"$19,722,766","$3,205,706","$16,517,060",2010
10283,Youth in Revolt,"$19,651,093","$15,281,286","$4,369,807",2010
10284,Buried,"$19,439,764","$1,044,143","$18,395,621",2010
10285,Norwegian Wood,"$19,115,721","$13,000","$19,102,721",2010
10286,13 Assassins,"$18,689,058","$802,778","$17,886,280",2010
10287,Repo Men,"$18,409,891","$13,794,835","$4,615,056",2010
10288,My Afternoons with Margueritte,"$17,107,143","$666,557","$16,440,586",2010
10289,The Nutcracker in 3D,"$16,918,946","$195,459","$16,723,487",2010
10290,The Last Godfather,"$16,863,629","$164,247","$16,699,382",2010
10291,"Tomorrow, When the War Began","$16,533,595","$4,936","$16,528,659",2010
10292,Sea Rex 3D: Journey to a Prehistoric World,"$16,004,150","$6,096,582","$9,907,568",2010
10293,I Hate Luv Storys,"$15,719,212","$847,993","$14,871,219",2010
10294,Extraordinary Measures,"$15,134,293","$12,068,313","$3,065,980",2010
10295,Ip Man 2,"$15,061,802","$205,675","$14,856,127",2010
10296,The Housemaid,"$15,038,301","$157,961","$14,880,340",2010
10297,Blue Valentine,"$14,892,418","$9,706,328","$5,186,090",2010
10298,Somewhere,"$14,788,642","$1,785,645","$13,002,997",2010
10299,Winter's Bone,"$13,796,834","$6,531,503","$7,265,331",2010
